result: freq 2412 rssi -03, noise -95, max_magnitude 0234 max_index 029 bitmap_weight 008 tsf 37158642117 | datamax = 8464, datamin = 9, datasquaresum = 81895
signal: -123.117798, pixels: 378130448, freq: 2416.984375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 11, datasquaresum: 62311, highlight: 0 
signal: -121.666779, pixels: 378130448, freq: 2417.328125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 13, datasquaresum: 62311, highlight: 0 
signal: -115.318375, pixels: 378130448, freq: 2417.671875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 27, datasquaresum: 62311, highlight: 0 
signal: -111.076599, pixels: 378130448, freq: 2418.015625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 44, datasquaresum: 62311, highlight: 0 
signal: -117.501266, pixels: 378130448, freq: 2418.359375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 21, datasquaresum: 62311, highlight: 0 
signal: -116.341423, pixels: 378130448, freq: 2418.703125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 24, datasquaresum: 62311, highlight: 0 
signal: -118.840195, pixels: 378130448, freq: 2419.046875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 18, datasquaresum: 62311, highlight: 0 
signal: -114.118416, pixels: 378130448, freq: 2419.390625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 31, datasquaresum: 62311, highlight: 0 
signal: -113.064285, pixels: 378130448, freq: 2419.734375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 35, datasquaresum: 62311, highlight: 0 
signal: -111.689972, pixels: 378130448, freq: 2420.078125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 41, datasquaresum: 62311, highlight: 0 
signal: -118.840195, pixels: 378130448, freq: 2420.421875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 18, datasquaresum: 62311, highlight: 0 
signal: -112.124359, pixels: 378130448, freq: 2420.765625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 39, datasquaresum: 62311, highlight: 0 
signal: -118.840195, pixels: 378130448, freq: 2421.109375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 18, datasquaresum: 62311, highlight: 0 
signal: -113.575371, pixels: 378130448, freq: 2421.453125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 33, datasquaresum: 62311, highlight: 0 
signal: -118.266685, pixels: 378130448, freq: 2402.546875, startfreq: 2350.000000, noise: -95, rssi: 2, data: 14, datasquaresum: 65906, highlight: 0 
signal: -115.614174, pixels: 378130448, freq: 2402.890625, startfreq: 2350.000000, noise: -95, rssi: 2, data: 19, datasquaresum: 65906, highlight: 0 
signal: -115.168648, pixels: 378130448, freq: 2403.234375, startfreq: 2350.000000, noise: -95, rssi: 2, data: 20, datasquaresum: 65906, highlight: 0 
signal: -118.266685, pixels: 378130448, freq: 2403.578125, startfreq: 2350.000000, noise: -95, rssi: 2, data: 14, datasquaresum: 65906, highlight: 0 
signal: -111.646820, pixels: 378130448, freq: 2403.921875, startfreq: 2350.000000, noise: -95, rssi: 2, data: 30, datasquaresum: 65906, highlight: 0 
signal: -118.910378, pixels: 378130448, freq: 2404.265625, startfreq: 2350.000000, noise: -95, rssi: 2, data: 13, datasquaresum: 65906, highlight: 0 
signal: -117.106850, pixels: 378130448, freq: 2404.609375, startfreq: 2350.000000, noise: -95, rssi: 2, data: 16, datasquaresum: 65906, highlight: 0 
signal: -111.941284, pixels: 378130448, freq: 2404.953125, startfreq: 2350.000000, noise: -95, rssi: 2, data: 29, datasquaresum: 65906, highlight: 0 
signal: -135.168640, pixels: 378130448, freq: 2405.296875, startfreq: 2350.000000, noise: -95, rssi: 2, data: 2, datasquaresum: 65906, highlight: 0 
signal: -111.941284, pixels: 378130448, freq: 2405.640625, startfreq: 2350.000000, noise: -95, rssi: 2, data: 29, datasquaresum: 65906, highlight: 0 
signal: -111.086250, pixels: 378130448, freq: 2405.984375, startfreq: 2350.000000, noise: -95, rssi: 2, data: 32, datasquaresum: 65906, highlight: 0 
signal: -109.367958, pixels: 378130448, freq: 2406.328125, startfreq: 2350.000000, noise: -95, rssi: 2, data: 39, datasquaresum: 65906, highlight: 0 
signal: -111.086250, pixels: 378130448, freq: 2406.671875, startfreq: 2350.000000, noise: -95, rssi: 2, data: 32, datasquaresum: 65906, highlight: 0 
signal: -116.580269, pixels: 378130448, freq: 2407.015625, startfreq: 2350.000000, noise: -95, rssi: 2, data: 17, datasquaresum: 65906, highlight: 0 
signal: -110.063194, pixels: 378130448, freq: 2407.359375, startfreq: 2350.000000, noise: -95, rssi: 2, data: 36, datasquaresum: 65906, highlight: 0 
signal: -120.361397, pixels: 378130448, freq: 2407.703125, startfreq: 2350.000000, noise: -95, rssi: 2, data: 11, datasquaresum: 65906, highlight: 0 
signal: -108.933571, pixels: 378130448, freq: 2408.046875, startfreq: 2350.000000, noise: -95, rssi: 2, data: 41, datasquaresum: 65906, highlight: 0 
signal: -109.825211, pixels: 378130448, freq: 2408.390625, startfreq: 2350.000000, noise: -95, rssi: 2, data: 37, datasquaresum: 65906, highlight: 0 
signal: -111.941284, pixels: 378130448, freq: 2408.734375, startfreq: 2350.000000, noise: -95, rssi: 2, data: 29, datasquaresum: 65906, highlight: 0 
signal: -107.385330, pixels: 378130448, freq: 2409.078125, startfreq: 2350.000000, noise: -95, rssi: 2, data: 49, datasquaresum: 65906, highlight: 0 
