result: freq 2412 rssi 000, noise -95, max_magnitude 0103 max_index 029 bitmap_weight 034 tsf 1781255871 | datamax = 3969, datamin = 25, datasquaresum = 62420
signal: -111.976196, pixels: 1548898320, freq: 2417.671875, startfreq: 2350.000000, noise: -95, rssi: -2, data: 43, datasquaresum: 58151, highlight: 0 
signal: -113.519516, pixels: 1548898320, freq: 2418.015625, startfreq: 2350.000000, noise: -95, rssi: -2, data: 36, datasquaresum: 58151, highlight: 0 
signal: -123.061951, pixels: 1548898320, freq: 2418.359375, startfreq: 2350.000000, noise: -95, rssi: -2, data: 12, datasquaresum: 58151, highlight: 0 
signal: -116.346100, pixels: 1548898320, freq: 2418.703125, startfreq: 2350.000000, noise: -95, rssi: -2, data: 26, datasquaresum: 58151, highlight: 0 
signal: -111.203613, pixels: 1548898320, freq: 2419.046875, startfreq: 2350.000000, noise: -95, rssi: -2, data: 47, datasquaresum: 58151, highlight: 0 
signal: -116.686768, pixels: 1548898320, freq: 2419.390625, startfreq: 2350.000000, noise: -95, rssi: -2, data: 25, datasquaresum: 58151, highlight: 0 
signal: -108.938980, pixels: 1548898320, freq: 2419.734375, startfreq: 2350.000000, noise: -95, rssi: -2, data: 61, datasquaresum: 58151, highlight: 0 
signal: -111.776520, pixels: 1548898320, freq: 2420.078125, startfreq: 2350.000000, noise: -95, rssi: -2, data: 44, datasquaresum: 58151, highlight: 0 
signal: -118.201187, pixels: 1548898320, freq: 2420.421875, startfreq: 2350.000000, noise: -95, rssi: -2, data: 21, datasquaresum: 58151, highlight: 0 
signal: -118.201187, pixels: 1548898320, freq: 2420.765625, startfreq: 2350.000000, noise: -95, rssi: -2, data: 21, datasquaresum: 58151, highlight: 0 
signal: -112.389893, pixels: 1548898320, freq: 2421.109375, startfreq: 2350.000000, noise: -95, rssi: -2, data: 41, datasquaresum: 58151, highlight: 0 
signal: -110.325508, pixels: 1548898320, freq: 2421.453125, startfreq: 2350.000000, noise: -95, rssi: -2, data: 52, datasquaresum: 58151, highlight: 0 
signal: -116.074524, pixels: 1548898320, freq: 2402.546875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 24, datasquaresum: 58597, highlight: 0 
signal: -115.379288, pixels: 1548898320, freq: 2402.890625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 26, datasquaresum: 58597, highlight: 0 
signal: -131.637558, pixels: 1548898320, freq: 2403.234375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 4, datasquaresum: 58597, highlight: 0 
signal: -114.136322, pixels: 1548898320, freq: 2403.578125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 30, datasquaresum: 58597, highlight: 0 
signal: -107.287872, pixels: 1548898320, freq: 2403.921875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 66, datasquaresum: 58597, highlight: 0 
signal: -119.596359, pixels: 1548898320, freq: 2404.265625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 16, datasquaresum: 58597, highlight: 0 
signal: -114.430786, pixels: 1548898320, freq: 2404.609375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 29, datasquaresum: 58597, highlight: 0 
signal: -115.719955, pixels: 1548898320, freq: 2404.953125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 25, datasquaresum: 58597, highlight: 0 
signal: -117.234375, pixels: 1548898320, freq: 2405.296875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 21, datasquaresum: 58597, highlight: 0 
signal: -120.756195, pixels: 1548898320, freq: 2405.640625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 14, datasquaresum: 58597, highlight: 0 
signal: -109.699356, pixels: 1548898320, freq: 2405.984375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 50, datasquaresum: 58597, highlight: 0 
signal: -111.857468, pixels: 1548898320, freq: 2406.328125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 39, datasquaresum: 58597, highlight: 0 
signal: -119.069778, pixels: 1548898320, freq: 2406.671875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 17, datasquaresum: 58597, highlight: 0 
signal: -114.430786, pixels: 1548898320, freq: 2407.015625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 29, datasquaresum: 58597, highlight: 0 
signal: -115.379288, pixels: 1548898320, freq: 2407.359375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 26, datasquaresum: 58597, highlight: 0 
signal: -113.308472, pixels: 1548898320, freq: 2407.703125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 33, datasquaresum: 58597, highlight: 0 
signal: -115.051483, pixels: 1548898320, freq: 2408.046875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 27, datasquaresum: 58597, highlight: 0 
signal: -123.678757, pixels: 1548898320, freq: 2408.390625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 10, datasquaresum: 58597, highlight: 0 
signal: -113.049179, pixels: 1548898320, freq: 2408.734375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 34, datasquaresum: 58597, highlight: 0 
signal: -116.074524, pixels: 1548898320, freq: 2409.078125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 24, datasquaresum: 58597, highlight: 0 
signal: -116.074524, pixels: 1548898320, freq: 2409.421875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 24, datasquaresum: 58597, highlight: 0 
signal: -115.379288, pixels: 1548898320, freq: 2409.765625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 26, datasquaresum: 58597, highlight: 0 
signal: -113.049179, pixels: 1548898320, freq: 2410.109375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 34, datasquaresum: 58597, highlight: 0 
signal: -121.399887, pixels: 1548898320, freq: 2410.453125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 13, datasquaresum: 58597, highlight: 0 
signal: -119.069778, pixels: 1548898320, freq: 2410.796875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 17, datasquaresum: 58597, highlight: 0 
signal: -125.616959, pixels: 1548898320, freq: 2411.140625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 8, datasquaresum: 58597, highlight: 0 
signal: -107.028580, pixels: 1548898320, freq: 2411.484375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 68, datasquaresum: 58597, highlight: 0 
signal: -129.699356, pixels: 1548898320, freq: 2411.828125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 5, datasquaresum: 58597, highlight: 0 
signal: -113.308472, pixels: 1548898320, freq: 2412.171875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 33, datasquaresum: 58597, highlight: 0 
signal: -107.972153, pixels: 1548898320, freq: 2412.515625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 61, datasquaresum: 58597, highlight: 0 
signal: -119.069778, pixels: 1548898320, freq: 2412.859375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 17, datasquaresum: 58597, highlight: 0 
signal: -114.735596, pixels: 1548898320, freq: 2413.203125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 28, datasquaresum: 58597, highlight: 0 
signal: -107.028580, pixels: 1548898320, freq: 2413.546875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 68, datasquaresum: 58597, highlight: 0 
