result: freq 2412 rssi -02, noise -95, max_magnitude 0096 max_index 029 bitmap_weight 033 tsf 2416556619 | datamax = 3600, datamin = 49, datasquaresum = 57279
signal: -117.326088, pixels: 122466320, freq: 2406.328125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 20, datasquaresum: 68339, highlight: 0 
signal: -112.220634, pixels: 122466320, freq: 2406.671875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 36, datasquaresum: 68339, highlight: 0 
signal: -115.742462, pixels: 122466320, freq: 2407.015625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 24, datasquaresum: 68339, highlight: 0 
signal: -121.067818, pixels: 122466320, freq: 2407.359375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 13, datasquaresum: 68339, highlight: 0 
signal: -112.717110, pixels: 122466320, freq: 2407.703125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 34, datasquaresum: 68339, highlight: 0 
signal: -108.539436, pixels: 122466320, freq: 2408.046875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 55, datasquaresum: 68339, highlight: 0 
signal: -120.424126, pixels: 122466320, freq: 2408.390625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 14, datasquaresum: 68339, highlight: 0 
signal: -120.424126, pixels: 122466320, freq: 2408.734375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 14, datasquaresum: 68339, highlight: 0 
signal: -118.241234, pixels: 122466320, freq: 2409.078125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 18, datasquaresum: 68339, highlight: 0 
signal: -118.241234, pixels: 122466320, freq: 2409.421875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 18, datasquaresum: 68339, highlight: 0 
signal: -121.763062, pixels: 122466320, freq: 2409.765625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 12, datasquaresum: 68339, highlight: 0 
signal: -108.539436, pixels: 122466320, freq: 2410.109375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 55, datasquaresum: 68339, highlight: 0 
signal: -112.465324, pixels: 122466320, freq: 2410.453125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 35, datasquaresum: 68339, highlight: 0 
signal: -108.229187, pixels: 122466320, freq: 2410.796875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 57, datasquaresum: 68339, highlight: 0 
signal: -112.976410, pixels: 122466320, freq: 2411.140625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 33, datasquaresum: 68339, highlight: 0 
signal: -115.742462, pixels: 122466320, freq: 2411.484375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 24, datasquaresum: 68339, highlight: 0 
signal: -111.091011, pixels: 122466320, freq: 2411.828125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 41, datasquaresum: 68339, highlight: 0 
signal: -112.976410, pixels: 122466320, freq: 2412.171875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 33, datasquaresum: 68339, highlight: 0 
signal: -115.047218, pixels: 122466320, freq: 2412.515625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 26, datasquaresum: 68339, highlight: 0 
signal: -121.067818, pixels: 122466320, freq: 2412.859375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 13, datasquaresum: 68339, highlight: 0 
signal: -111.982651, pixels: 122466320, freq: 2413.203125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 37, datasquaresum: 68339, highlight: 0 
signal: -119.824860, pixels: 122466320, freq: 2413.546875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 15, datasquaresum: 68339, highlight: 0 
signal: -108.698814, pixels: 122466320, freq: 2413.890625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 54, datasquaresum: 68339, highlight: 0 
signal: -114.719414, pixels: 122466320, freq: 2414.234375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 27, datasquaresum: 68339, highlight: 0 
signal: -107.929642, pixels: 122466320, freq: 2414.578125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 59, datasquaresum: 68339, highlight: 0 
signal: -114.098724, pixels: 122466320, freq: 2414.921875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 29, datasquaresum: 68339, highlight: 0 
signal: -121.067818, pixels: 122466320, freq: 2415.265625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 13, datasquaresum: 68339, highlight: 0 
signal: -111.305489, pixels: 122466320, freq: 2415.609375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 40, datasquaresum: 68339, highlight: 0 
